Item Point ID,Map,Region,Guaranteed Drop,Min,Common Drop,Common %,Rare Drop,Rare %
IP_MP1102_01,West of Starting Shore,Nameless Coast,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1102_02,West of Starting Shore,Nameless Coast,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1102_03,West of Starting Shore,Nameless Coast,crudberry fruit,1,,,,
IP_MP1102_04,West of Starting Shore,Nameless Coast,crudberry fruit,1,,,,
IP_MP7302_01,Dilapidated Living Space,Waterdrop Cave,small leaves,1,beautiful flowers,5%,seirenmugi,1%
IP_MP7302_02,Dilapidated Living Space,Waterdrop Cave,strange lump,1,Iron ore,10%,,
IP_MP7303_01,Before Boss Arena,Waterdrop Cave,bending twig,1,glossy wood,10%,,
IP_MP1131_01,Northwest of Laxia,Nameless Coast,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1131_02,Northwest of Laxia,Nameless Coast,bending twig,2,glossy wood,10%,,
IP_MP1131_03,Northwest of Laxia,Nameless Coast,crudberry fruit,1,,,,
IP_MP1131_04,Northwest of Laxia,Nameless Coast,crudberry fruit,1,,,,
IP_MP1131_05,Northwest of Laxia,Nameless Coast,mountain bird eggs,1,bending twig,20%,,
IP_MP1131_06,Northwest of Laxia,Nameless Coast,strange lump,2,Iron ore,10%,rock salt,40%
IP_MP1111_01,Shoreline South of Boulder,Nameless Coast,strange lump,2,Iron ore,10%,,
IP_MP1111_02,Shoreline South of Boulder,Nameless Coast,small leaves,1,beautiful flowers,5%,seirenmugi,5%
IP_MP1111_03,Shoreline South of Boulder,Nameless Coast,coconut palm,1,,,,
IP_MP1111_04,Shoreline South of Boulder,Nameless Coast,coconut palm,1,,,,
IP_MP1111_05,Shoreline South of Boulder,Nameless Coast,coconut palm,1,,,,
IP_MP1111_06,Shoreline South of Boulder,Nameless Coast,strange lump,2,Iron ore,10%,,
IP_MP1113_01,North of Starting Shore,White Sand Cape,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1113_02,North of Starting Shore,White Sand Cape,coconut palm,1,,,,
IP_MP1113_03,North of Starting Shore,White Sand Cape,strange lump,2,Iron ore,20%,,
IP_MP1113_04,North of Starting Shore,White Sand Cape,bending twig,2,glossy wood,10%,,
IP_MP1132_01,Cobalt Crag,White Sand Cape,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1132_02,Cobalt Crag,White Sand Cape,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1132_03,Cobalt Crag,White Sand Cape,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1132_04,Cobalt Crag,White Sand Cape,strange lump,2,Iron ore,10%,rock salt,10%
IP_MP1132_05,Cobalt Crag,White Sand Cape,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1132_06,Cobalt Crag,White Sand Cape,small leaves,1,beautiful flowers,5%,foxglove leaves,40%
IP_MP1133_01,Alison's Shore,White Sand Cape,coconut palm,1,,,,
IP_MP1133_02,Alison's Shore,White Sand Cape,strange lump,2,Iron ore,10%,rock salt,10%
IP_MP1133_03,Alison's Shore,White Sand Cape,strange lump,2,Iron ore,10%,rock salt,10%
IP_MP1134_01,Coral Shore,White Sand Cape,strange lump,2,Iron ore,10%,rock salt,10%
IP_MP1134_02,Coral Shore,White Sand Cape,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1112_01,Shoreline North of Boulder,Nameless Coast,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1112_02,Shoreline North of Boulder,Nameless Coast,bending twig,2,glossy wood,20%,,
IP_MP1112_03,Shoreline North of Boulder,Nameless Coast,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1112_04,Shoreline North of Boulder,Nameless Coast,strange lump,2,Iron ore,20%,,
IP_MP1112_05,Shoreline North of Boulder,Nameless Coast,crudberry fruit,1,,,,
IP_MP1112_06,Shoreline North of Boulder,Nameless Coast,crudberry fruit,1,,,,
IP_MP1112_07,Shoreline North of Boulder,Nameless Coast,mountain bird eggs,1,bending twig,20%,,
IP_MP1112_08,Shoreline North of Boulder,Nameless Coast,mountain bird eggs,1,bending twig,20%,,
IP_MP1112_09,Shoreline North of Boulder,Nameless Coast,coconut palm,1,,,,
IP_MP1112_10,Shoreline North of Boulder,Nameless Coast,mountain bird eggs,1,bending twig,20%,,
IP_MP1112_11,Shoreline North of Boulder,Nameless Coast,mountain bird eggs,1,bending twig,20%,,
IP_MP2101_01,Forested Area (Gravel Spot),Nameless Coast,strange lump,2,Iron ore,10%,stalactite,5%
IP_MP2101_02,Forested Area (Gravel Spot),Nameless Coast,Honey,1,,,,
IP_MP2101_03,Forested Area (Gravel Spot),Nameless Coast,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP2101_04,Forested Area (Gravel Spot),Nameless Coast,Honey,1,,,,
IP_MP2101_05,Forested Area (Gravel Spot),Nameless Coast,bending twig,2,glossy wood,20%,,
IP_MP1104_01,Cliffs South - Treebridge,Nameless Coast,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1104_02,Cliffs South - Treebridge,Nameless Coast,bending twig,1,glossy wood,20%,,
IP_MP1104_03,Cliffs South - Treebridge,Nameless Coast,strange lump,2,Iron ore,10%,stalactite,2%
IP_MP1104_04,Cliffs South - Treebridge,Nameless Coast,strange lump,2,Iron ore,10%,stalactite,2%
IP_MP1104_05,Cliffs South - Treebridge,Nameless Coast,strange lump,2,Iron ore,10%,stalactite,2%
IP_MP1104_06,Cliffs South - Treebridge,Nameless Coast,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1105_01,Nameless Coast - Camp,Nameless Coast,crudberry fruit,1,,,,
IP_MP1105_02,Nameless Coast - Camp,Nameless Coast,crudberry fruit,1,,,,
IP_MP1301_01,Entrance,Towering Coral Forest,strange lump,2,Iron ore,10%,stalactite,2%
IP_MP1301_02,Entrance,Towering Coral Forest,small leaves,1,beautiful flowers,10%,foxglove leaves,2%
IP_MP1301_03,Entrance,Towering Coral Forest,Honey,1,,,,
IP_MP1302_01,Walkways,Towering Coral Forest,bending twig,2,glossy wood,10%,,
IP_MP1302_02,Walkways,Towering Coral Forest,small leaves,1,beautiful flowers,10%,crudberry fruit,80%
IP_MP1302_03,Walkways,Towering Coral Forest,rock salt,2,Iron ore,10%,rock salt,10%
IP_MP1302_04,Walkways,Towering Coral Forest,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1302_05,Walkways,Towering Coral Forest,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1302_06,Walkways,Towering Coral Forest,strange lump,2,Iron ore,10%,rock salt,10%
IP_MP1302_07,Walkways,Towering Coral Forest,eggplant,2,,,,
IP_MP1303_01,After Mid-Boss,Towering Coral Forest,bending twig,2,glossy wood,20%,lateca resin,2%
IP_MP1303_02,After Mid-Boss,Towering Coral Forest,bending twig,2,glossy wood,20%,lateca resin,2%
IP_MP1303_03,After Mid-Boss,Towering Coral Forest,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1303_04,After Mid-Boss,Towering Coral Forest,strange lump,2,Iron ore,10%,stalactite,2%
IP_MP1303_05,After Mid-Boss,Towering Coral Forest,bending twig,1,glossy wood,20%,,
IP_MP1303_06,After Mid-Boss,Towering Coral Forest,bending twig,1,glossy wood,20%,,
IP_MP1304_01,Rainbow Falls,Towering Coral Forest,bending twig,2,glossy wood,20%,lateca resin,10%
IP_MP1304_02,Rainbow Falls,Towering Coral Forest,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1304_03,Rainbow Falls,Towering Coral Forest,strange lump,2,Iron ore,10%,rock salt,10%
IP_MP1304_04,Rainbow Falls,Towering Coral Forest,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1304_05,Rainbow Falls,Towering Coral Forest,strange lump,2,Iron ore,10%,rock salt,10%
IP_MP1304_06,Rainbow Falls,Towering Coral Forest,strange lump,2,Iron ore,10%,stalactite,2%
IP_MP1304_07,Rainbow Falls,Towering Coral Forest,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1304_08,Rainbow Falls,Towering Coral Forest,strange lump,2,Iron ore,10%,stalactite,2%
IP_MP1305_01,Midpoint,Towering Coral Forest,strange lump,2,Iron ore,10%,rock salt,10%
IP_MP1305_02,Midpoint,Towering Coral Forest,strange lump,2,Iron ore,10%,stalactite,2%
IP_MP1307_01,End,Towering Coral Forest,strange lump,2,Iron ore,10%,rock salt,10%
IP_MP1307_02,End,Towering Coral Forest,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1307_03,End,Towering Coral Forest,eggplant,1,,,,
IP_MP1307_04,End,Towering Coral Forest,eggplant,1,,,,
IP_MP1117_01,Metavolicalis,Roaring Seashore,coconut palm,1,,,,
IP_MP1117_02,Metavolicalis,Roaring Seashore,strange lump,2,Iron ore,10%,stalactite,2%
IP_MP1117_03,Metavolicalis,Roaring Seashore,strange lump,2,Iron ore,10%,rock salt,10%
IP_MP1117_04,Metavolicalis,Roaring Seashore,coconut palm,1,,,,
IP_MP1135_01,Parasequoia,Roaring Seashore,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1135_02,Parasequoia,Roaring Seashore,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1135_03,Parasequoia,Roaring Seashore,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1135_04,Parasequoia,Roaring Seashore,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1135_05,Parasequoia,Roaring Seashore,small leaves,2,beautiful flowers,10%,foxglove leaves,2%
IP_MP1135_06,Parasequoia,Roaring Seashore,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1135_07,Parasequoia,Roaring Seashore,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1135_08,Parasequoia,Roaring Seashore,small leaves,2,beautiful flowers,10%,foxglove leaves,2%
IP_MP1135_09,Parasequoia,Roaring Seashore,mountain bird eggs,1,bending twig,20%,,
IP_MP1135_10,Parasequoia,Roaring Seashore,small leaves,2,beautiful flowers,10%,foxglove leaves,2%
IP_MP1135_11,Parasequoia,Roaring Seashore,small leaves,2,beautiful flowers,10%,foxglove leaves,2%
IP_MP1135_12,Parasequoia,Roaring Seashore,small leaves,2,beautiful flowers,10%,foxglove leaves,2%
IP_MP1135_13,Parasequoia,Roaring Seashore,small leaves,2,beautiful flowers,10%,foxglove leaves,2%
IP_MP2102_01,Falls,Great River Valley,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP2102_02,Falls,Great River Valley,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP2102_03,Falls,Great River Valley,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP2102_04,Falls,Great River Valley,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP2102_05,Falls,Great River Valley,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP2102_06,Falls,Great River Valley,bending twig,2,glossy wood,20%,lateca resin,5%
IP_MP2102_07,Falls,Great River Valley,bending twig,2,glossy wood,20%,lateca resin,5%
IP_MP2102_08,Falls,Great River Valley,strange lump,2,Iron ore,10%,stalactite,2%
IP_MP2102_09,Falls,Great River Valley,Honey,1,,,,
IP_MP2102_10,Falls,Great River Valley,paprika,2,,,,
IP_MP1106_01,Cliffs North,Nameless Coast,small leaves,1,beautiful flowers,10%,crudberry fruit,80%
IP_MP1106_02,Cliffs North,Nameless Coast,strange lump,2,Iron ore,10%,stalactite,2%
IP_MP1106_03,Cliffs North,Nameless Coast,mountain bird eggs,1,bending twig,20%,,
IP_MP1107_01,Cliffs,Great River Valley,mountain bird eggs,1,bending twig,20%,,
IP_MP1107_02,Cliffs,Great River Valley,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1107_03,Cliffs,Great River Valley,bending twig,2,glossy wood,20%,,
IP_MP1107_04,Cliffs,Great River Valley,strange lump,2,Iron ore,10%,stalactite,2%
IP_MP1107_05,Cliffs,Great River Valley,mountain bird eggs,1,bending twig,20%,,
IP_MP1107_06,Cliffs,Great River Valley,mountain bird eggs,1,bending twig,20%,,
IP_MP1120_01,Large Shorline,Great River Valley,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1120_02,Large Shorline,Great River Valley,strange lump,2,Iron ore,10%,stalactite,2%
IP_MP1120_03,Large Shorline,Great River Valley,mountain bird eggs,1,bending twig,50%,,
IP_MP1120_04,Large Shorline,Great River Valley,mango,1,,,,
IP_MP1120_05,Large Shorline,Great River Valley,strange lump,2,Iron ore,10%,rock salt,10%
IP_MP1120_06,Large Shorline,Great River Valley,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1120_07,Large Shorline,Great River Valley,strange lump,2,Iron ore,10%,stalactite,2%
IP_MP3103_01,Lookout Tower,Great River Valley,Honey,1,,,,
IP_MP3103_02,Lookout Tower,Great River Valley,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP3103_03,Lookout Tower,Great River Valley,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP3104_01,Chimney Rock,Great River Valley,strange lump,2,Iron ore,10%,stalactite,2%
IP_MP3104_02,Chimney Rock,Great River Valley,strange lump,2,Iron ore,10%,stalactite,2%
IP_MP3104_03,Chimney Rock,Great River Valley,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP3104_04,Chimney Rock,Great River Valley,mountain bird eggs,1,bending twig,20%,,
IP_MP3104_05,Chimney Rock,Great River Valley,strange lump,2,Iron ore,10%,stalactite,2%
IP_MP3104_06,Chimney Rock,Great River Valley,strange lump,2,Iron ore,10%,stalactite,2%
IP_MP3104_07,Chimney Rock,Great River Valley,paprika,1,,,,
IP_MP3104_08,Chimney Rock,Great River Valley,paprika,1,,,,
IP_MP7471_01,Waterfall Grotto,Waterfall Grotto,strange lump,2,Iron ore,20%,stalactite,5%
IP_MP7471_02,Waterfall Grotto,Waterfall Grotto,strange lump,2,Iron ore,20%,stalactite,5%
IP_MP7471_03,Waterfall Grotto,Waterfall Grotto,strange lump,2,Iron ore,20%,stalactite,5%
IP_MP7471_04,Waterfall Grotto,Waterfall Grotto,bending twig,2,glossy wood,20%,lateca resin,20%
IP_MP7471_05,Waterfall Grotto,Waterfall Grotto,bending twig,2,glossy wood,20%,lateca resin,20%
IP_MP7471_06,Waterfall Grotto,Waterfall Grotto,strange lump,2,Iron ore,20%,stalactite,5%
IP_MP7471_07,Waterfall Grotto,Waterfall Grotto,bending twig,2,glossy wood,20%,lateca resin,20%
IP_MP7471_08,Waterfall Grotto,Waterfall Grotto,strange lump,2,Iron ore,20%,stalactite,5%
IP_MP7471_09,Waterfall Grotto,Waterfall Grotto,strange lump,2,Iron ore,20%,stalactite,5%
IP_MP7471_10,Waterfall Grotto,Waterfall Grotto,small leaves,2,beautiful flowers,20%,foxglove leaves,5%
IP_MP7471_11,Waterfall Grotto,Waterfall Grotto,strange lump,2,Iron ore,20%,stalactite,20%
IP_MP7471_12,Waterfall Grotto,Waterfall Grotto,strange lump,2,Iron ore,20%,stalactite,20%
IP_MP7471_13,Waterfall Grotto,Waterfall Grotto,strange lump,2,Iron ore,20%,stalactite,20%
IP_MP7471_14,Waterfall Grotto,Waterfall Grotto,strange lump,2,Iron ore,20%,stalactite,20%
IP_MP7471_15,Waterfall Grotto,Waterfall Grotto,strange lump,2,Iron ore,20%,stalactite,20%
IP_MP1108_01,Valley (Where Hummel Joins),Beast Hills,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1108_02,Valley (Where Hummel Joins),Beast Hills,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP1108_03,Valley (Where Hummel Joins),Beast Hills,strange lump,2,Iron ore,10%,stalactite,2%
IP_MP1108_04,Valley (Where Hummel Joins),Beast Hills,mountain bird eggs,1,bending twig,20%,,
IP_MP1108_05,Valley (Where Hummel Joins),Beast Hills,bending twig,1,glossy wood,20%,lateca resin,2%
IP_MP1108_06,Valley (Where Hummel Joins),Beast Hills,bending twig,1,glossy wood,20%,lateca resin,2%
IP_MP1108_07,Valley (Where Hummel Joins),Beast Hills,bending twig,1,glossy wood,20%,lateca resin,2%
IP_MP1108_08,Valley (Where Hummel Joins),Beast Hills,strange lump,2,Iron ore,20%,stalactite,5%
IP_MP4102_01,Beast Hills North Camp,Beast Hills,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP4102_02,Beast Hills North Camp,Beast Hills,bending twig,2,glossy wood,10%,White dew antler,20%
IP_MP2103_01,Beast Hills South Camp,Beast Hills,Honey,1,,,,
IP_MP1109_01,Collapsed Cliff,Beast Hills,small leaves,1,beautiful flowers,10%,foxglove leaves,5%
IP_MP1109_02,Collapsed Cliff,Beast Hills,bending twig,2,glossy wood,20%,lateca resin,2%
IP_MP1109_03,Collapsed Cliff,Beast Hills,strange lump,2,Iron ore,20%,stalactite,2%
IP_MP1109_04,Collapsed Cliff,Beast Hills,bending twig,2,glossy wood,40%,lateca resin,10%
IP_MP1109_05,Collapsed Cliff,Beast Hills,small leaves,1,beautiful flowers,5%,foxglove leaves,1%
IP_MP4301_01,Entrance,Eroded Valley,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP4301_02,Entrance,Eroded Valley,bending twig,1,glossy wood,10%,White dew antler,20%
IP_MP4301_03,Entrance,Eroded Valley,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP4301_04,Entrance,Eroded Valley,bending twig,1,glossy wood,10%,White dew antler,20%
IP_MP4301_05,Entrance,Eroded Valley,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP4301_06,Entrance,Eroded Valley,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP4301_08,Entrance,Eroded Valley,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP4301_09,Entrance,Eroded Valley,bending twig,1,glossy wood,10%,White dew antler,20%
IP_MP4302_01,Cave,Eroded Valley,strange lump,1,Iron ore,20%,stalactite,5%
IP_MP4302_02,Cave,Eroded Valley,strange lump,1,Iron ore,20%,stalactite,5%
IP_MP4302_03,Cave,Eroded Valley,bending twig,1,glossy wood,10%,White dew antler,20%
IP_MP4302_04,Cave,Eroded Valley,bending twig,1,glossy wood,10%,White dew antler,20%
IP_MP4302_05,Cave,Eroded Valley,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP4302_06,Cave,Eroded Valley,strange lump,1,Iron ore,20%,stalactite,5%
IP_MP4303_01,Dark Passage,Eroded Valley,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP4303_02,Dark Passage,Eroded Valley,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP4303_03,Dark Passage,Eroded Valley,strange lump,1,Iron ore,10%,rock salt,20%
IP_MP4303_04,Dark Passage,Eroded Valley,strange lump,2,Iron ore,20%,stalactite,10%
IP_MP4303_05,Dark Passage,Eroded Valley,strange lump,2,Iron ore,20%,stalactite,10%
IP_MP4303_06,Dark Passage,Eroded Valley,strange lump,2,Iron ore,20%,stalactite,10%
IP_MP4303_07,Dark Passage,Eroded Valley,Iron ore,2,Iron ore,20%,stalactite,10%
IP_MP4303_08,Dark Passage,Eroded Valley,Iron ore,2,Iron ore,20%,stalactite,10%
IP_MP4304_01,Small Cliff,Eroded Valley,small leaves,1,beautiful flowers,10%,foxglove leaves,2%
IP_MP4304_02,Small Cliff,Eroded Valley,strange lump,1,Iron ore,10%,rock salt,20%
IP_MP4305_01,Midpoint,Eroded Valley,bending twig,1,glossy wood,10%,White dew antler,20%
IP_MP4305_02,Midpoint,Eroded Valley,small leaves,1,beautiful flowers,10%,foxglove leaves,2%
IP_MP4305_03,Midpoint,Eroded Valley,strange lump,1,Iron ore,20%,,
IP_MP4305_04,Midpoint,Eroded Valley,small leaves,2,beautiful flowers,20%,foxglove leaves,5%
IP_MP4305_05,Midpoint,Eroded Valley,bending twig,1,glossy wood,10%,White dew antler,20%
IP_MP4307_01,Webbed Walkways,Eroded Valley,small leaves,1,beautiful flowers,10%,foxglove leaves,5%
IP_MP4307_02,Webbed Walkways,Eroded Valley,small leaves,2,beautiful flowers,20%,foxglove leaves,5%
IP_MP4307_03,Webbed Walkways,Eroded Valley,crudberry fruit,1,,,,
IP_MP4307_04,Webbed Walkways,Eroded Valley,crudberry fruit,1,,,,
IP_MP4307_05,Webbed Walkways,Eroded Valley,crudberry fruit,1,,,,
IP_MP4307_06,Webbed Walkways,Eroded Valley,mountain bird eggs,1,bending twig,20%,,
IP_MP4307_07,Webbed Walkways,Eroded Valley,small leaves,1,beautiful flowers,10%,foxglove leaves,2%
IP_MP4307_08,Webbed Walkways,Eroded Valley,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP4307_09,Webbed Walkways,Eroded Valley,small leaves,2,beautiful flowers,20%,foxglove leaves,10%
IP_MP4307_10,Webbed Walkways,Eroded Valley,small leaves,1,beautiful flowers,10%,foxglove leaves,2%
IP_MP4308_01,End,Eroded Valley,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP4308_02,End,Eroded Valley,strange lump,1,Iron ore,10%,stalactite,2%
IP_MP4308_03,End,Eroded Valley,bending twig,1,glossy wood,10%,White dew antler,20%
IP_MP1119_01,Sunrise Beach,Sunrise Beach,coconut palm,1,,,,
IP_MP1119_02,Sunrise Beach,Sunrise Beach,coconut palm,1,,,,
